,African,European,Native_American,North_American,NorthEast_Asian,SouthEast_Asian,World
DRB1_0101,2.586,7.737,4.644,7.352,3.391,0.932,3.393
DRB1_0102,4.01,1.297,3.304,1.663,0.049,0.158,1.579
DRB1_0103,0.25,1.041,0.712,1.032,0.015,0.041,0.336
DRB1_0301,6.969,11.43,7.12,11.152,4.291,5.109,7.574
DRB1_0302,6.315,0.036,1.19,0.913,0.004,0.015,1.093
DRB1_0401,1.932,7.51,2.114,7.389,0.691,0.419,2.303
DRB1_0402,0.083,1.067,1.234,0.87,0.034,0.188,0.609
DRB1_0403,0.194,1.459,1.604,0.783,2.424,3.109,2.415
DRB1_0404,0.8,3.563,4.592,3.29,1.006,0.603,1.914
DRB1_0405,1.565,0.729,2.456,1.084,8.254,5.913,3.296
DRB1_0406,0.023,0.061,0.106,0.171,3.13,0.634,0.682
DRB1_0407,0.373,0.977,6.26,0.96,0.287,0.1,1.032
DRB1_0408,0.058,0.356,0.13,0.322,0.033,0.078,0.144
DRB1_0701,10.06,13.764,10.827,12.523,5.483,7.317,10.299
DRB1_0801,0.356,2.014,1.13,1.925,0.036,0.122,0.664
DRB1_0802,0.087,0.136,6.392,0.107,1.761,0.213,0.936
DRB1_0803,0.035,0.296,0.201,0.56,7.19,3.111,2.06
DRB1_0804,5.464,0.213,1.088,0.92,0.009,0.047,1.131
DRB1_0901,2.968,0.999,1.276,2.081,13.079,8.062,5.089
DRB1_1001,1.942,1.579,1.586,1.024,1.364,3.995,2.34
DRB1_1101,8.479,5.763,4.138,6.019,5.223,4.494,6.278
DRB1_1102,3.855,0.246,1.251,0.77,0.005,0.019,0.773
DRB1_1103,0.068,0.548,0.365,0.5,0.013,0.024,0.204
DRB1_1104,0.623,3.255,2.897,2.469,0.163,0.707,2.105
DRB1_1201,3.753,1.5,1.181,2.041,4.004,0.845,1.981
DRB1_1202,0.281,0.386,0.111,0.668,7.212,17.077,4.278
DRB1_1301,5.404,5.702,4.68,5.338,1.141,1.656,3.998
DRB1_1302,7.35,4.714,4.11,5.092,5.208,1.757,4.228
DRB1_1303,3.317,1.017,1.327,1.337,0.018,0.08,1.076
DRB1_1305,0.035,0.23,0.328,0.209,0,0.02,0.112
DRB1_1401,1.868,2.499,1.862,2.544,3.045,2.256,2.275
DRB1_1402,0.079,0.035,2.304,0.039,0.027,0.044,0.274
DRB1_1406,0.009,0.026,2.57,0.019,0.441,0.038,0.262
DRB1_1501,2.725,12.598,6.347,11.787,9.103,4.656,7.779
DRB1_1502,0.26,2.064,1.09,0.758,3.715,19.553,6.564
DRB1_1503,11.85,0.05,1.182,1.674,0.003,0.031,2.173
DRB1_1601,0.192,1.326,0.959,1.184,0.027,0.072,0.546
DRB1_1602,1.385,0.238,2.127,0.547,2.608,1.628,1.619
